symbol,name,exchange,country,assigned_focus_sector,source_sector,source_industry
FOX,Fox Corporation Class A,NMS,United States,entertainment_media,Communication Services,Media
FOXA,Fox Corporation Class A,NMS,United States,entertainment_media,Communication Services,Media
GOOG,Alphabet Inc.,NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
GOOGL,Alphabet Inc.,NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
INF.L,Informa plc,LSE,United Kingdom,entertainment_media,Communication Services,Diversified Telecommunication Services
KPN.AS,Koninklijke KPN N.V.,AMS,Netherlands,entertainment_media,Communication Services,Diversified Telecommunication Services
LYV,"Live Nation Entertainment, Inc.",NYQ,United States,entertainment_media,Communication Services,Entertainment
META,Meta Platforms Inc Class A,NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
NFLX,"Netflix, Inc.",NMS,United States,entertainment_media,Communication Services,Entertainment
NWS,News Corporation,NMS,United States,entertainment_media,Communication Services,Media
NWSA,News Corporation,NMS,United States,entertainment_media,Communication Services,Media
NYT,New York Times Company Class A,NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
OMC,Omnicom Group Inc.,NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
ORA.PA,Orange S.A.,PAR,France,entertainment_media,Communication Services,Diversified Telecommunication Services
PINS,"Pinterest, Inc.",NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
PRX.AS,Prosus N.V.,AMS,Netherlands,entertainment_media,Communication Services,Diversified Telecommunication Services
PSKY,Paramount Skydance Corporation Class B Common Stock,NMS,United States,entertainment_media,Communication Services,Media
PUB.PA,Publicis Groupe S.A.,PAR,France,entertainment_media,Communication Services,Diversified Telecommunication Services
RBLX,Roblox Corporation,NYQ,United States,entertainment_media,Communication Services,Interactive Media & Services
RDDT,Reddit Inc. Class A Common Stock,NYQ,United States,entertainment_media,Communication Services,Interactive Media & Services
REL.L,RELX PLC,LSE,United Kingdom,entertainment_media,Communication Services,Diversified Telecommunication Services
ROKU,"Roku, Inc. Class A",NMS,United States,entertainment_media,Communication Services,Entertainment
SCHA.OL,Schibsted ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services
SCHAO.OL,Schibsted ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services
SCHB.OL,Schibsted ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services
SCMN.SW,Swisscom AG,EBS,Switzerland,entertainment_media,Communication Services,Diversified Telecommunication Services
SINCH.ST,Sinch AB (publ),STO,Sweden,entertainment_media,Communication Services,Diversified Telecommunication Services
T,AT&T Inc.,NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
TEF.MC,"Telefonica, S.A.",MCE,Spain,entertainment_media,Communication Services,Diversified Telecommunication Services
TEL.OL,Telenor ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services
TELIA.ST,Telia Company AB (publ),STO,Sweden,entertainment_media,Communication Services,Diversified Telecommunication Services
TIT.MI,Telecom Italia S.p.A.,MIL,Italy,entertainment_media,Communication Services,Diversified Telecommunication Services
TITR.MI,Telecom Italia S.p.A.,MIL,Italy,entertainment_media,Communication Services,Diversified Telecommunication Services
TKO,TKO Group Holdings Inc. Class A Common Stock,NYQ,United States,entertainment_media,Communication Services,Entertainment
TMUS,"T-Mobile US, Inc.",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
TWLO,Twilio Inc.,NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
VIV.PA,Vivendi SE,PAR,France,entertainment_media,Communication Services,Media
VZ,Verizon Communications Inc.,NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
WBD,Warner Bros. Discovery Inc. Series A Common Stock,NMS,United States,entertainment_media,Communication Services,Entertainment
WKL.AS,Wolters Kluwer N.V.,AMS,Netherlands,entertainment_media,Communication Services,Diversified Telecommunication Services
WMG,Warner Music Group Corp. Class A,NMS,United States,entertainment_media,Communication Services,Entertainment
WPP.L,WPP plc,LSE,United Kingdom,entertainment_media,Communication Services,Diversified Telecommunication Services
Z,"Zillow Group, Inc.",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
ZG,"Zillow Group, Inc.",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
ZM,"Zoom Video Communications, Inc.",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
ZNGA,Zynga Inc.,NMS,United States,entertainment_media,Communication Services,Interactive Media & Services
ADYEN.AS,Adyen N.V.,AMS,Netherlands,financial_services_non_bank,Information Technology,Software
ALLY,Ally Financial Inc.,NYQ,United States,financial_services_non_bank,Financials,Consumer Finance
ANET,"Arista Networks, Inc.",NYQ,United States,financial_services_non_bank,Financials,Diversified Financial Services
AXP,American Express Company,NYQ,United States,financial_services_non_bank,Financials,Consumer Finance
EDEN.PA,Edenred SA,PAR,France,financial_services_non_bank,Financials,Consumer Finance
FFIV,"F5, Inc.",NMS,United States,financial_services_non_bank,Financials,Diversified Financial Services
MA,Mastercard Incorporated Class A,NYQ,United States,financial_services_non_bank,Financials,Consumer Finance
PANW,"Palo Alto Networks, Inc.",NYQ,United States,financial_services_non_bank,Financials,Diversified Financial Services
PYPL,"PayPal Holdings, Inc.",NMS,United States,financial_services_non_bank,Financials,Consumer Finance
SLMBP,SLM Corporation,NMS,United States,financial_services_non_bank,Financials,Consumer Finance
SOFI,"SoFi Technologies, Inc.",NMS,United States,financial_services_non_bank,Financials,Consumer Finance
SOFIW,"SoFi Technologies, Inc.",NMS,United States,financial_services_non_bank,Financials,Consumer Finance
SYF,Synchrony Financial,NYQ,United States,financial_services_non_bank,Financials,Consumer Finance
SYF-PA,Synchrony Financial,NYQ,United States,financial_services_non_bank,Financials,Consumer Finance
SYM,Symbotic Inc. Class A Common Stock,NMS,United States,financial_services_non_bank,Financials,Diversified Financial Services
TTWO,"Take-Two Interactive Software, Inc.",NMS,United States,financial_services_non_bank,Financials,Diversified Financial Services
V,Visa Inc.,NYQ,United States,financial_services_non_bank,Financials,Consumer Finance
AAPL,Apple Inc.,NMS,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
ADBE,Adobe Inc.,NMS,United States,information_technology,Information Technology,Software
ADI,"Analog Devices, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
ADSK,"Autodesk, Inc.",NMS,United States,information_technology,Information Technology,Software
AFRM,"Affirm Holdings, Inc.",NMS,United States,information_technology,Information Technology,IT Services
AKAM,"Akamai Technologies, Inc.",NMS,United States,information_technology,Information Technology,Software
ALAB,Astera Labs Inc. Common Stock,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
AMAT,"Applied Materials, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
AMD,"Advanced Micro Devices, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
AMKR,"Amkor Technology, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
AMS.MC,"Amadeus IT Group, S.A.",MCE,Spain,information_technology,Information Technology,IT Services
APH,Amphenol Corporation Class A,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
APP,AppLovin Corp. Class A,NMS,United States,information_technology,Information Technology,Software
ASM.AS,ASM International N.V.,AMS,Netherlands,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
ASML.AS,ASML Holding N.V.,AMS,Netherlands,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
AVGO,Broadcom Inc.,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
AVV.L,AVEVA Group plc,LSE,United Kingdom,information_technology,Information Technology,Software
BR,"Broadridge Financial Solutions, Inc.",NYQ,United States,information_technology,Information Technology,IT Services
BSY,"Bentley Systems, Incorporated Class B",NMS,United States,information_technology,Information Technology,Software
CACI,CACI International Inc,NYQ,United States,information_technology,Information Technology,IT Services
CAP.PA,Capgemini SE,PAR,France,information_technology,Information Technology,IT Services
CBRS,Cerebras Systems Inc. Class A Common Stock,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
CDNS,"Cadence Design Systems, Inc.",NMS,United States,information_technology,Information Technology,Software
CDW,CDW Corporation,NMS,United States,information_technology,Information Technology,IT Services
CIEN,Ciena Corporation,NYQ,United States,information_technology,Information Technology,Communications Equipment
CNM,Core & Main Inc. Class A Common Stock,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
COHR,"Coherent, Inc.",NMS,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
COIN,"Coinbase Global, Inc. Class A",NMS,United States,information_technology,Information Technology,Software
CPAY,Corpay Inc. Common Stock,NYQ,United States,information_technology,Information Technology,Software
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
CRM,"Salesforce, Inc.",NYQ,United States,information_technology,Information Technology,Software
CRWD,"CrowdStrike Holdings, Inc. Class A",NMS,United States,information_technology,Information Technology,Software
CRWV,CoreWeave Inc. Class A Common Stock,NMS,United States,information_technology,Information Technology,Software
CSCO,"Cisco Systems, Inc.",NMS,United States,information_technology,Information Technology,Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A,NMS,United States,information_technology,Information Technology,IT Services
DDOG,"Datadog, Inc. Class A",NMS,United States,information_technology,Information Technology,Software
DELL,Dell Technologies Inc.,NYQ,United States,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
DSY.PA,Dassault Systemes SE,PAR,France,information_technology,Information Technology,Software
DT,"Dynatrace, Inc.",NYQ,United States,information_technology,Information Technology,Software
ENTG,"Entegris, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
ERIC-A.ST,Telefonaktiebolaget LM Ericsson (publ),STO,Sweden,information_technology,Information Technology,Communications Equipment
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),STO,Sweden,information_technology,Information Technology,Communications Equipment
FICO,Fair Isaac Corporation,NYQ,United States,information_technology,Information Technology,Software
FIS,"Fidelity National Information Services, Inc.",NYQ,United States,information_technology,Information Technology,IT Services
FLT,"FLEETCOR Technologies, Inc.",NYQ,United States,information_technology,Information Technology,IT Services
FPS,Forgent Power Solutions Inc. Class A Common Stock,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
FSLR,"First Solar, Inc.",NMS,United States,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
FTNT,"Fortinet, Inc.",NMS,United States,information_technology,Information Technology,Software
FTV,Fortive Corporation,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
FTV-PA,Fortive Corporation,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
GDDY,GoDaddy Inc.,NYQ,United States,information_technology,Information Technology,Software
GEHC,GE HealthCare Technologies Inc. Common Stock,NMS,United States,information_technology,Information Technology,Software
GEN,Gen Digital Inc. Common Stock,NMS,United States,information_technology,Information Technology,Software
GFS,GlobalFoundries Inc. Ordinary Shares,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
GLW,Corning Inc,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
GWRE,"Guidewire Software, Inc.",NYQ,United States,information_technology,Information Technology,Software
HPE,Hewlett Packard Enterprise Co.,NYQ,United States,information_technology,Information Technology,Communications Equipment
HPQ,HP Inc.,NYQ,United States,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
HUBS,"HubSpot, Inc.",NYQ,United States,information_technology,Information Technology,Software
IBM,International Business Machines Corporation,NYQ,United States,information_technology,Information Technology,IT Services
IFX.DE,Infineon Technologies AG,GER,Germany,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
IFX.F,Infineon Technologies AG,FRA,Germany,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
IFXA.F,Infineon Technologies AG,FRA,Germany,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
INTC,Intel Corporation,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
INTU,Intuit Inc.,NMS,United States,information_technology,Information Technology,Software
IT,"Gartner, Inc.",NYQ,United States,information_technology,Information Technology,IT Services
JBL,Jabil Inc.,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
JKHY,"Jack Henry & Associates, Inc.",NMS,United States,information_technology,Information Technology,IT Services
KEYS,Keysight Technologies Inc,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
KLAC,KLA Corporation,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
LDOS,"Leidos Holdings, Inc.",NYQ,United States,information_technology,Information Technology,IT Services
LITE,Lumentum Holdings Inc.,NMS,United States,information_technology,Information Technology,Communications Equipment
LOGN.SW,Logitech International S.A. - Registered Shares,EBS,Switzerland,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
LRCX,Lam Research Corporation,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
LSCC,Lattice Semiconductor Corporation,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
MCHP,Microchip Technology Incorporated,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
MCHPP,Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
MDB,"MongoDB, Inc. Class A",NMS,United States,information_technology,Information Technology,Software
MKSI,"MKS Instruments, Inc.",NMS,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
MPWR,"Monolithic Power Systems, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
MRVL,"Marvell Technology, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
MSFT,Microsoft Corporation,NMS,United States,information_technology,Information Technology,Software
MSI,"Motorola Solutions, Inc.",NYQ,United States,information_technology,Information Technology,Communications Equipment
MSTR,Strategy Inc,NMS,United States,information_technology,Information Technology,Software
MTSI,"MACOM Technology Solutions Holdings, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
MU,"Micron Technology, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
NET,"Cloudflare, Inc.",NYQ,United States,information_technology,Information Technology,Software
NEXI.MI,Nexi S.p.A.,MIL,Italy,information_technology,Information Technology,Software
NLOK,NortonLifeLock Inc.,NMS,United States,information_technology,Information Technology,Software
NOKIA.HE,Nokia Corp.,HEL,Finland,information_technology,Information Technology,Communications Equipment
NOW,"ServiceNow, Inc.",NYQ,United States,information_technology,Information Technology,Software
NTAP,"NetApp, Inc.",NMS,United States,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
NTNX,"Nutanix, Inc. Class A",NMS,United States,information_technology,Information Technology,Software
NVDA,NVIDIA Corporation,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
NXT,Nextpower Inc.,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
OKTA,"Okta, Inc. Class A",NMS,United States,information_technology,Information Technology,Software
ON,ON Semiconductor Corporation,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
ONTO,"Onto Innovation, Inc.",NYQ,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
ORCL,Oracle Corporation,NYQ,United States,information_technology,Information Technology,Software
PLTR,Palantir Technologies Inc. Class A,NYQ,United States,information_technology,Information Technology,Software
PTC,PTC Inc.,NMS,United States,information_technology,Information Technology,Software
QCOM,QUALCOMM Incorporated,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
QXO,QXO Inc. Common Stock,NMS,United States,information_technology,Information Technology,Software
RBRK,Rubrik Inc. Class A Common Stock,NYQ,United States,information_technology,Information Technology,Software
RMBS,Rambus Inc.,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
SAP.DE,SAP SE,GER,Germany,information_technology,Information Technology,Software
SAP.F,SAP SE,FRA,Germany,information_technology,Information Technology,Software
SAPA.F,SAP SE,FRA,Germany,information_technology,Information Technology,Software
SATS,EchoStar Corporation,NMS,United States,information_technology,Information Technology,Communications Equipment
SGE.L,The Sage Group plc,LSE,United Kingdom,information_technology,Information Technology,Software
SITM,SiTime Corporation,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
SMCI,"Super Micro Computer, Inc.",NMS,United States,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
SMCIP,Super Micro Computer Inc. Depositary Shares representing a 1/20th Interest in a Share of 7% Series A Mandatory Convertible Preferred Stock,NMS,United States,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
SNDK,Sandisk Corporation Common Stock,NMS,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
SNOW,"Snowflake, Inc.",NYQ,United States,information_technology,Information Technology,Software
SNPS,"Synopsys, Inc.",NMS,United States,information_technology,Information Technology,Software
SNX,TD SYNNEX Corporation,NYQ,United States,information_technology,Information Technology,IT Services
STRD,Strategy Inc,NMS,United States,information_technology,Information Technology,Software
STRF,MicroStrategy Incorporated 10.00% Series A Perpetual Strife Preferred Stock,NMS,United States,information_technology,Information Technology,Software
STRK,Strategy Inc,NMS,United States,information_technology,Information Technology,Software
TDY,Teledyne Technologies Incorporated,NYQ,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
TEMN.SW,Temenos AG,EBS,Switzerland,information_technology,Information Technology,Software
TER,"Teradyne, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
TOST,Toast Inc. Class A Common Stock,NYQ,United States,information_technology,Information Technology,Software
TRMB,Trimble Inc.,NMS,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
TTD,"The Trade Desk, Inc.",NGM,United States,information_technology,Information Technology,Software
TTMI,"TTM Technologies, Inc.",NMS,United States,information_technology,Information Technology,"Electronic Equipment, Instruments & Components"
TXN,Texas Instruments Incorporated,NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
TYL,"Tyler Technologies, Inc.",NYQ,United States,information_technology,Information Technology,Software
UBER,"Uber Technologies, Inc.",NYQ,United States,information_technology,Information Technology,Software
UI,Ubiquiti Inc.,NYQ,United States,information_technology,Information Technology,Communications Equipment
VRSN,"VeriSign, Inc.",NMS,United States,information_technology,Information Technology,Software
WDAY,"Workday, Inc. Class A",NMS,United States,information_technology,Information Technology,Software
WDC,Western Digital Corporation,NMS,United States,information_technology,Information Technology,"Technology Hardware, Storage & Peripherals"
WLN.PA,Worldline SA,PAR,France,information_technology,Information Technology,Software
XLNX,"Xilinx, Inc.",NMS,United States,information_technology,Information Technology,Semiconductors & Semiconductor Equipment
XYZ,Block Inc. Class A Common Stock,NYQ,United States,information_technology,Information Technology,Software
ZBRA,Zebra Technologies Corporation Class A,NMS,United States,information_technology,Information Technology,Communications Equipment
ZS,"Zscaler, Inc.",NMS,United States,information_technology,Information Technology,Software
AC.PA,Accor SA,PAR,France,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ADS.DE,adidas AG,GER,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
ADS.F,adidas AG,FRA,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
ADS1.F,adidas AG,FRA,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
AMZN,"Amazon.com, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
ARMK,Aramark,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BKNG,Booking Holdings Inc.,NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BRBY.L,Burberry Group plc,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BURL,"Burlington Stores, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CCL,Carnival Corporation & plc,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CDI.PA,Christian Dior SE,PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CFR.SW,Compagnie Financiere Richemont SA,EBS,Switzerland,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CHWY,"Chewy, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
CMG,"Chipotle Mexican Grill, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CPG.L,Compass Group PLC,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CVNA,Carvana Co.,NYQ,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
DECK,Deckers Outdoor Corporation,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
DHER.DE,Delivery Hero SE,GER,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
DHER.F,Delivery Hero SE,FRA,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
DKNG,DraftKings Inc.,NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DPZ,"Domino's Pizza, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DRI,"Darden Restaurants, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
EBAY,eBay Inc.,NMS,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
EL.PA,EssilorLuxottica Societe anonyme,PAR,France,luxury_consumer,Health Care,Health Care Equipment & Supplies
ENT.L,Entain Plc,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
EVO.ST,Evolution Gaming Group AB (publ),STO,Sweden,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
EXPE,"Expedia Group, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
FDJ.PA,FDJ United,PAR,France,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
FLTR.IR,Flutter Entertainment plc,ISE,Ireland,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
GAP,Gap Inc. (The) Common Stock,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
H,Hyatt Hotels Corporation,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
HAS,"Hasbro, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
HFG.DE,HelloFresh SE,GER,Germany,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
HFG.F,HelloFresh SE,FRA,Germany,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
HLT,Hilton Worldwide Holdings Inc.,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
HM-B.ST,H & M Hennes & Mauritz AB (publ),STO,Sweden,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
IHG.L,InterContinental Hotels Group PLC,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ITX.MC,"Industria de Diseno Textil, S.A.",MCE,Spain,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
KER.PA,Kering SA,PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
LVS,Las Vegas Sands Corp.,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
MAR,"Marriott International, Inc. Class A",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Societe Europeenne",PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
MCD,McDonald's Corporation,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
MONC.MI,Moncler S.P.A.,MIL,Italy,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
NCLH,Norwegian Cruise Line Holdings Ltd.,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
NKE,"Nike, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
NXT.L,NEXT plc,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
PNDORA.CO,Pandora A/S,CPH,Denmark,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
PUM.DE,PUMA SE,GER,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
PUM.F,PUMA SE,FRA,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
PUMA.F,PUMA SE,FRA,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
